mirna	target_gene	mirna_gene_id	target_gene_id	mirna_chr	target_gene_chr
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200847	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201432	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201566	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199273	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201933	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201565	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200857	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000276178	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201282	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000273927	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000274984	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199913	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202035	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000239069	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000267828	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202021	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199870	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000275930	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200874	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238560	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201885	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201959	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222432	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200397	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207488	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200769	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199711	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201913	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200552	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000251852	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252047	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199764	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199224	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252115	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199516	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206705	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252820	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000251728	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201354	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000274118	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222941	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000253088	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207061	chr22	chr7
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200630	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206950	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207258	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207101	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202514	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207450	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200714	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201365	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252210	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000223220	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207417	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000277604	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199701	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199732	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202399	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206699	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202310	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199667	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202001	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201216	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201627	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206719	chr22	chr8
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222658	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201118	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199635	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000272113	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200544	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200834	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207032	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200502	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206784	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000278028	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238933	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238749	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000276723	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000275904	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000239180	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200922	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200041	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202523	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201074	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201938	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201830	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199331	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207329	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207401	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200261	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201749	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200788	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222421	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000223188	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201843	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201451	chr22	chr9
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238366	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200849	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202508	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000251803	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199222	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222412	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206660	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199200	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207271	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252621	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206840	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201196	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202190	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207438	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000195401	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200170	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201881	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201047	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199201	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207473	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206756	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201548	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222305	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199881	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201412	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200737	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000212325	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222072	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222430	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222503	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000223302	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201884	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199466	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207494	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222997	chr22	chr10
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199550	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201279	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200201	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202276	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000223080	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206858	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200685	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207252	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200615	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206808	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200485	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201867	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206806	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252652	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200090	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252874	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207024	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207196	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202522	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200256	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199362	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201756	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206816	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206690	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199875	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206911	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200855	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206967	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201535	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222529	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000283691	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206847	chr22	chr11
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202318	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201549	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199912	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201663	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206636	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238943	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206662	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252585	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201228	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207176	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201563	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201624	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000253016	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207142	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201788	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207467	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200309	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200428	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199740	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200953	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202146	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252607	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252660	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207387	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199245	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199895	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207365	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200011	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202470	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000212448	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202368	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206790	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206929	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222579	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222160	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200060	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200688	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200135	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199899	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201208	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199220	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222601	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206914	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207189	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199584	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206850	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238443	chr22	chr12
MIR130B	Y_RNA	ENSG00000283871	ENSG00000273964	chr22	chr13
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199461	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000212335	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199716	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207164	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202402	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199291	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199285	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252919	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000277634	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000251792	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201573	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201820	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200742	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252198	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206822	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202182	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200860	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199755	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201529	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206768	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200298	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206751	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000223300	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199472	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199440	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207342	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252655	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201351	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202306	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200506	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202459	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000253096	chr22	chr14
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238783	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206846	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201084	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200008	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207091	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206676	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200305	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202211	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200391	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206957	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238845	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252171	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200419	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202542	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207105	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200120	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200605	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207484	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206995	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000276696	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200252	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201071	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206781	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207223	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252217	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000223271	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207395	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199580	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200142	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201724	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000212306	chr22	chr15
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207243	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201034	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200059	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199668	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201075	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207425	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207294	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206706	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206927	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201371	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202476	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222701	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222767	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207173	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000275745	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201850	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199263	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199979	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200164	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207525	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199949	chr22	chr16
MIR130B	Y_RNA	ENSG00000283871	ENSG00000251812	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202251	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201489	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201741	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000275982	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238516	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207132	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202100	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201178	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000265889	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000275006	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000274284	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222881	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200888	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000238723	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206734	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206805	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207127	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206824	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201340	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207235	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252534	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202361	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200842	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207123	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207382	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000239823	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201547	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199801	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206713	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252042	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202332	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000251779	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200651	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207021	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201239	chr22	chr17
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202224	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207034	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000252319	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200883	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207092	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201466	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200750	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000223023	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199357	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199366	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199636	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207240	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000222395	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199204	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201668	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200752	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206865	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199867	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000201723	chr22	chr18
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199223	chr22	chr19
MIR130B	Y_RNA	ENSG00000283871	ENSG00000202357	chr22	chr19
MIR130B	Y_RNA	ENSG00000283871	ENSG00000199444	chr22	chr19
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200179	chr22	chr19
MIR130B	Y_RNA	ENSG00000283871	ENSG00000206669	chr22	chr19
MIR130B	Y_RNA	ENSG00000283871	ENSG00000200209	chr22	chr19
MIR130B	Y_RNA	ENSG00000283871	ENSG00000207281	chr22	chr19
